SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,gender_Male,InternetService_Fiber,InternetService_None,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,AutoPay,NumServices,TenureBin,HighChargeFlag,Contract_x_Charge,Fiber_x_Charge,ChargesPerTenure,LogMonthlyCharges,LogTotalCharges,IsNewCustomer
0,1,0,1,0,0,0,1,0,0,0,0,0,1,29.85,29.85,0,0,0,0,0,1,0,0,1,0,0,0.0,0.0,14.925,3.4291367503513968,3.4291367503513968,1
0,0,0,34,1,0,1,0,1,0,0,0,1,0,56.95,1889.5,0,1,0,0,0,0,1,0,3,3,0,56.95,0.0,53.98571428571429,4.059580569785761,7.544596623330987,0
0,0,0,2,1,0,1,1,0,0,0,0,0,1,53.85,108.15,1,1,0,0,0,0,1,0,3,0,0,0.0,0.0,36.050000000000004,4.00460218672124,4.692723082995953,1
0,0,0,45,0,0,1,0,1,1,0,0,1,0,42.3,1840.75,0,1,0,0,0,0,0,1,3,4,0,42.3,0.0,40.016304347826086,3.768152635008444,7.518471485562923,0
0,0,0,2,1,0,0,0,0,0,0,0,0,1,70.7,151.65,1,0,1,0,0,1,0,0,1,0,0,0.0,70.7,50.550000000000004,4.272490747605575,5.028147719180887,1
0,0,0,8,1,1,0,0,1,0,1,1,0,1,99.65,820.5,1,0,1,0,0,1,0,0,5,1,1,0.0,99.65,91.16666666666667,4.611649152085801,6.711131937477322,0
0,0,1,22,1,1,0,1,0,0,1,0,0,1,89.1,1949.4,0,1,1,0,1,0,0,1,4,2,0,0.0,89.1,84.75652173913043,4.500920164614292,7.575789758727007,0
0,0,0,10,0,0,1,0,0,0,0,0,0,0,29.75,301.9,0,0,0,0,0,0,1,0,1,1,0,0.0,0.0,27.44545454545454,3.4258899942525267,5.713402718033191,0
0,1,0,28,1,1,0,0,1,1,1,1,0,1,104.8,3046.05,1,0,1,0,0,1,0,0,6,3,1,0.0,104.8,105.03620689655173,4.661550519424199,8.02192918843427,0
0,0,1,62,1,0,1,1,0,0,0,0,1,0,56.15,3487.95,0,1,0,0,0,0,0,1,3,4,0,56.15,0.0,55.364285714285714,4.04567939024082,8.15735611033029,0
0,1,1,13,1,0,1,0,0,0,0,0,0,1,49.95,587.45,0,1,0,0,0,0,1,0,2,2,0,0.0,0.0,41.96071428571429,3.9308447596687337,6.377491961323671,0
0,0,0,16,1,0,0,0,0,0,0,0,2,0,18.95,326.8,0,1,0,1,1,0,0,1,1,2,0,37.9,0.0,19.223529411764705,2.9932291433358724,5.792403666309729,0
0,1,0,58,1,1,0,0,1,0,1,1,1,0,100.35,5681.1,0,1,1,0,1,0,0,1,5,4,1,100.35,100.35,96.28983050847458,4.618579872898009,8.645076161696084,0
0,0,0,49,1,1,0,1,1,0,1,1,0,1,103.7,5036.3,1,1,1,0,0,0,0,1,6,4,1,0.0,103.7,100.726,4.651099117876491,8.524625503233533,0
0,0,0,25,1,0,1,0,1,1,1,1,0,1,105.5,2686.05,0,1,1,0,0,1,0,0,6,3,1,0.0,105.5,103.3096153846154,4.66814498514948,7.8961992165555,0
0,1,1,69,1,1,1,1,1,1,1,1,2,0,113.25,7895.15,0,0,1,0,1,0,0,1,8,4,1,226.5,113.25,112.78785714285713,4.738389029774314,8.974130577893364,0
